05-WD-3052	22:40	03-Apr-2016	
08-D-123519	22:41	03-Apr-2016	
05-WD-3052	22:46	03-Apr-2016	
05-WD-3052	23:03	03-Apr-2016	
05-WD-3052	23:06	03-Apr-2016	
05-WD-3052	23:19	03-Apr-2016	
05-WD-3052	23:48	03-Apr-2016	
05-WD-3052	00:11	04-Apr-2016	
05-WD-3052	00:13	04-Apr-2016	
05-WD-3052	00:14	04-Apr-2016	
05-WD-3052	00:15	04-Apr-2016	
05-WD-3052	12:40	04-Apr-2016	
08-D-123519	12:41	04-Apr-2016	
05-WD-3052	12:43	04-Apr-2016	
05-WD-3052	12:48	04-Apr-2016	
05-WD-3052	12:48	04-Apr-2016	
08-D-123519	13:09	04-Apr-2016	
10-D-0991991	19:37	04-Apr-2016	
Error	19:41	04-Apr-2016	
099-D-991-1	20:13	04-Apr-2016	
998-D-1993519	20:35	04-Apr-2016	
05-WD-3052	14:46	05-Apr-2016	
05-WD-3052	15:06	05-Apr-2016	
10-D-09919	15:12	05-Apr-2016	
05-WD-3052	15:13	05-Apr-2016	
05-WD-3052	15:15	05-Apr-2016	
05-WD-3052	15:22	05-Apr-2016	
05-WD-3052	15:36	05-Apr-2016	
05-WD-3052	21:55	05-Apr-2016	
10-D-0991991	22:06	05-Apr-2016	
Error	22:06	05-Apr-2016	
05-WD-3052	22:50	05-Apr-2016	
05-WD-3052	00:24	06-Apr-2016	
05-WD-3052	00:24	06-Apr-2016	
05-WD-3052	00:25	06-Apr-2016	
05-WD-3052	00:25	06-Apr-2016	
05-WD-3052	00:27	06-Apr-2016	
05-WD-3052	14:59	07-Apr-2016	
05-WD-3052	15:03	07-Apr-2016	
05-DD-052	15:04	07-Apr-2016	
05-WD-3052	15:05	07-Apr-2016	
995--052	15:06	07-Apr-2016	
995--052	15:06	07-Apr-2016	
995--052	15:06	07-Apr-2016	
998-D-1993519	15:07	07-Apr-2016	
998-D-1993519	15:07	07-Apr-2016	
998-D-1993519	15:08	07-Apr-2016	
08-D-123519	15:08	07-Apr-2016	
998-D-1993519	16:53	07-Apr-2016	
998-D-1993519	16:53	07-Apr-2016	
08-D-1993519	16:54	07-Apr-2016	
08-D-1993519	16:55	07-Apr-2016	
08-D-123519	16:55	07-Apr-2016	
995--099	16:55	07-Apr-2016	
995--052	16:56	07-Apr-2016	
08-D-123519	16:56	07-Apr-2016	
05-WD-3052	16:57	07-Apr-2016	



Error	17:00	07-Apr-2016	
08-D-23519	17:15	07-Apr-2016	
05-D-3052	17:15	07-Apr-2016	
995-D-52	17:15	07-Apr-2016	
995-WD-3052	17:16	07-Apr-2016	
05-WD-3052	17:17	07-Apr-2016	
08-D-2359	17:17	07-Apr-2016	
08-D-2359	17:18	07-Apr-2016	
08-D-2359	17:19	07-Apr-2016	
08-D-2359	17:19	07-Apr-2016	
08-D-2359	17:19	07-Apr-2016	
08-D-123519	17:20	07-Apr-2016	
05-WD-3052	17:20	07-Apr-2016	
05-WD-3052	17:20	07-Apr-2016	
08-D-2359	17:20	07-Apr-2016	
08-D-2359	17:21	07-Apr-2016	
08-DH-23519	17:21	07-Apr-2016	
08-D-123519	17:23	07-Apr-2016	
08-DH-23519	17:24	07-Apr-2016	
08-D-123519	17:27	07-Apr-2016	
05-WD-3052	17:28	07-Apr-2016	
08-D-123519	17:34	07-Apr-2016	
08-D-123519	17:34	07-Apr-2016	
05-WD-3052	17:35	07-Apr-2016	
05-WD-3052	17:38	07-Apr-2016	
05-WD-3052	17:39	07-Apr-2016	
08--123519	17:39	07-Apr-2016	
08--123519	17:39	07-Apr-2016	
08-D-123519	17:40	07-Apr-2016	
08-D-123519	17:40	07-Apr-2016	
05-WD-3052	17:40	07-Apr-2016	
05-WD-3052	17:40	07-Apr-2016	
08-D-12350	18:14	07-Apr-2016	
08-D-123519	18:15	07-Apr-2016	
08-D-12350	18:15	07-Apr-2016	
05-WD-3052	18:37	07-Apr-2016	
05--03052	19:39	07-Apr-2016	
08--123519	19:39	07-Apr-2016	
05-WD-3052	19:40	07-Apr-2016	
05--03052	19:40	07-Apr-2016	
05-WD-3052	20:26	07-Apr-2016	
05-WD-3052	20:57	07-Apr-2016	
05-WD-3052	01:43	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-D-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
05-WD-3052	01:45	08-Apr-2016	
08--123519	01:47	08-Apr-2016	
08-D-123519	01:47	08-Apr-2016	
08-D-123519	01:47	08-Apr-2016	
80--2359	01:47	08-Apr-2016	
08-D-2359	01:47	08-Apr-2016	
80--23519	01:47	08-Apr-2016	
80--23519	01:47	08-Apr-2016	
80--23519	01:47	08-Apr-2016	
990--023990	01:47	08-Apr-2016	
08-D-123519	01:47	08-Apr-2016	
08-D-12350	01:47	08-Apr-2016	
08-D-12350	01:47	08-Apr-2016	
10-D-02359	01:47	08-Apr-2016	
08-D-12351	01:47	08-Apr-2016	
08-D-1235	01:47	08-Apr-2016	
08-D-12350	01:47	08-Apr-2016	
81--3519	01:48	08-Apr-2016	
08-D-993519	01:48	08-Apr-2016	
08-D-123519	01:48	08-Apr-2016	
08-D-123519	01:48	08-Apr-2016	
08--2351	01:48	08-Apr-2016	
998-D-123519	01:48	08-Apr-2016	
08-D-123519	01:48	08-Apr-2016	
998-D-123519	01:48	08-Apr-2016	
81--3519	01:49	08-Apr-2016	
08-D-993519	01:49	08-Apr-2016	
08-D-123519	01:49	08-Apr-2016	
08-D-123519	01:49	08-Apr-2016	
08--2351	01:49	08-Apr-2016	
998-D-123519	01:49	08-Apr-2016	
08-D-123519	01:49	08-Apr-2016	
998-D-123519	01:49	08-Apr-2016	
10--012350	01:50	08-Apr-2016	
08-D-123519	01:50	08-Apr-2016	
08-D-123510	01:50	08-Apr-2016	
08-D-123510	01:50	08-Apr-2016	
10-D-02359	01:50	08-Apr-2016	
08-D-12351	01:50	08-Apr-2016	
08-D-12350	01:50	08-Apr-2016	
08-D-123519	01:50	08-Apr-2016	
10--012350	01:51	08-Apr-2016	
08-D-123519	01:51	08-Apr-2016	
08-D-123510	01:51	08-Apr-2016	
08-D-123510	01:51	08-Apr-2016	
10-D-02359	01:51	08-Apr-2016	
08-D-12351	01:51	08-Apr-2016	
08-D-12350	01:51	08-Apr-2016	
08-D-123519	01:51	08-Apr-2016	
998-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08--123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
08-D-123519	01:52	08-Apr-2016	
80--2359	01:52	08-Apr-2016	
08-D-2359	01:52	08-Apr-2016	
80--23519	01:52	08-Apr-2016	
80--23519	01:52	08-Apr-2016	
80--23519	01:52	08-Apr-2016	
08-D-123519	01:53	08-Apr-2016	
05-WD-3052	01:53	08-Apr-2016	
998--12359	01:54	08-Apr-2016	
08-D-12359	01:54	08-Apr-2016	
990--2359	01:54	08-Apr-2016	
80--235999	01:54	08-Apr-2016	
80--359	01:54	08-Apr-2016	
80--2351999	01:54	08-Apr-2016	
80--2351999	01:54	08-Apr-2016	
80--2351999	01:54	08-Apr-2016	
08--12350	01:54	08-Apr-2016	
08-D-12359999	01:54	08-Apr-2016	
08-D-1235099	01:54	08-Apr-2016	
998--235999	01:54	08-Apr-2016	
08-D-1235999	01:54	08-Apr-2016	
08-D-1235999	01:54	08-Apr-2016	
08-D-12351999	01:54	08-Apr-2016	
08-D-123519	01:54	08-Apr-2016	
08--12350	01:55	08-Apr-2016	
08-D-12359999	01:55	08-Apr-2016	
08-D-1235099	01:55	08-Apr-2016	
998--235999	01:55	08-Apr-2016	
08-D-1235999	01:55	08-Apr-2016	
08-D-1235999	01:55	08-Apr-2016	
08-D-12351999	01:55	08-Apr-2016	
08-D-123519	01:55	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	01:56	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
08-D-123519	02:01	08-Apr-2016	
05-D-3052	02:01	08-Apr-2016	
05-WD-3052	02:01	08-Apr-2016	
05-WD-3052	02:01	08-Apr-2016	
05-WD-3052	02:01	08-Apr-2016	
05--052	02:01	08-Apr-2016	
05--052	02:01	08-Apr-2016	
05-D-3052	02:01	08-Apr-2016	
05-D-3052	02:01	08-Apr-2016	
05-WD-3052	02:08	08-Apr-2016	
05-WD-3052	02:08	08-Apr-2016	
05-WD-3052	02:08	08-Apr-2016	
05-WD-3052	02:08	08-Apr-2016	
05-D-3052	02:08	08-Apr-2016	
05-D-3052	02:08	08-Apr-2016	
05-D-3052	02:08	08-Apr-2016	
05-D-3052	02:08	08-Apr-2016	
05-WD-3052	02:10	08-Apr-2016	
05-WD-3052	02:10	08-Apr-2016	
05-WD-3052	02:10	08-Apr-2016	
05-WD-3052	02:10	08-Apr-2016	
05-D-3052	02:10	08-Apr-2016	
05-D-3052	02:10	08-Apr-2016	
05-D-3052	02:10	08-Apr-2016	
05-D-3052	02:10	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
05-WD-3052	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:11	08-Apr-2016	
08-D-123519	02:12	08-Apr-2016	
05-WD-3052	02:12	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
05-WD-3052	03:19	08-Apr-2016	
